Time,Biomass,Carbon1,Carbon2,Dext,Eext,Fext,Hext,Oxygen,R1,R2a,R2b,R3,R4,R5a,R5b,R6,R7,R8a,R8b,RPO2,RPb,RPcl,RPh,Rres,Tc1,Tc2,Td,Te,Tf,Th,To2,biomass,Growth
0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1,0.0,0.0,5.0,0.0,0.0,0.0,10.0,100.0,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,0,1,15.0,0.0,10.5,12.0,6.4945054945,0.0,5.0,15.0,0.01,2.9615384615
5,0.0012954379,0.0,4.9954070831,0.0052490479,0.0028408306,0.0,9.9978128967,99.9934386902,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,0,1,15.0,0.0,10.5,12.0,6.4945054945,0.0,5.0,15.0,0.0112576355,2.9615384615
142,0.6601627756,0.0,2.6594225218,2.6749456894,1.4477040129,0.0,8.8854392961,96.6563178882,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,0,1,15.0,0.0,10.5,12.0,6.4945054945,0.0,5.0,15.0,0.650898472,2.9615384615
167,1.3954878029,0.0,0.052360655,5.6544449658,3.0602350919,0.0,7.6439812643,92.9319437928,3.8366034726,1.7131463107,0.0,2.123457162,0.0337680133,2.9103108513,0.0,1.8841698165,0.0,0.0,2.876542838,0,0,0,1,15.0,0.0,3.8366034726,5.6525094494,0.0,0.0,5.0,15.0,1.3647658753,2.123457162
168,1.4254065133,0.0,0.0,5.7340866914,3.0602350919,0.0,7.573533145,92.720599435,0.0,0.0,1.3829787234,1.3829787234,0.6382978723,4.2553191489,0.0,0.0,0.0,0.0,3.6170212766,0,0,0,1,12.9787234043,0.0,0.0,0.0,0.0,0.0,5.0,12.9787234043,1.3940559726,1.3829787234
169,1.4450902959,0.0,0.0,5.7340866914,3.0602350919,0.0,7.5023687144,92.5358747485,0.0,0.0,1.3829787234,1.3829787234,0.6382978723,4.2553191489,0.0,0.0,0.0,0.0,3.6170212766,0,1,0,1,12.9787234043,0.0,0.0,0.0,0.0,0.0,5.0,12.9787234043,1.4134694063,1.3829787234
232,3.437116384,0.0,0.0,5.7340866914,3.0602350919,0.0,0.3004296824,73.8414803967,0.0,0.0,1.3829787234,1.3829787234,0.6382978723,4.2553191489,0.0,0.0,0.0,0.0,3.6170212766,0,1,0,1,12.9787234043,0.0,0.0,0.0,0.0,0.0,5.0,12.9787234043,3.3781358173,1.3829787234
234,3.5207671574,0.0,0.0,5.7340866914,3.0602350919,0.0,0.0,73.0564500368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46076182,0.0
243,3.5207671574,0.0,0.0,5.7340866914,3.0602350919,0.0,0.0,73.0564500368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46076182,0.0
276,3.5207671574,0.0,0.0,5.7340866914,3.0602350919,0.0,0.0,73.0564500368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46076182,0.0
