Time,Biomass,Carbon1,Carbon2,Dext,Eext,Fext,Hext,Oxygen,R1,R2a,R2b,R3,R4,R5a,R5b,R6,R7,R8a,R8b,RPO2,RPb,RPcl,RPh,Rres,Tc1,Tc2,Td,Te,Tf,Th,To2,biomass,Growth
0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
1,0.0,0.0,10.0,0.0,0.0,0.0,2.0,100.0,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,0,1,15.0,0.0,10.5,12.0,6.4945054945,0.0,5.0,15.0,0.01,2.9615384615
86,0.1173769453,0.0,9.583845311,0.4756053589,0.2574017818,0.0,1.8018311005,99.4054933014,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,0,1,15.0,0.0,10.5,12.0,6.4945054945,0.0,5.0,15.0,0.123951752,2.9615384615
122,0.3604989053,0.0,8.7218673185,1.4607230646,0.7905561039,0.0,1.3913653898,98.1740961693,10.5,7.5384615385,0.0,2.9615384615,0.2142857143,2.2527472527,0.0,4.0,2.1648351648,0.0,2.0384615385,0,0,0,1,15.0,0.0,10.5,12.0,6.4945054945,0.0,5.0,15.0,0.3599791356,2.9615384615
161,1.1666254636,0.0,5.8637818025,4.7271065114,2.5583514061,0.0,0.0303722869,94.0911168608,10.5,7.8417849297,0.0,2.6582150703,2.5905528186,2.5905528186,0.0,3.1992904216,1.4661688742,0.0,0.0,0,0,0,1,15.0,0.0,10.5,9.5978712647,4.3985066225,0.0,2.6582150703,15.0,1.1425820004,2.6582150703
162,1.1982341895,0.0,5.7389267317,4.8412344031,2.6106538731,0.0,0.0,93.9127524739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1733615677,0.0
183,1.9422734925,0.0,2.4960385713,7.5366220493,2.6106538731,0.0,0.0,89.2800551019,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,0,0,15.0,0.0,10.5,8.7272727273,0.0,0.0,0.0,15.0,1.8996904731,2.4090909091
192,2.4134383863,0.0,0.442470904,9.2434835404,2.6106538731,0.0,0.0,86.3463870057,10.5,8.0909090909,0.0,2.4090909091,4.2272727273,1.8181818182,0.0,2.9090909091,0.0,2.4090909091,0.0,0,0,0,0,15.0,0.0,10.5,8.7272727273,0.0,0.0,0.0,15.0,2.35964021,2.4090909091
255,2.5202583601,0.0,0.0,9.5443388177,2.6106538731,0.0,0.0,85.606206629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4641446123,0.0
264,2.5202583601,0.0,0.0,9.5443388177,2.6106538731,0.0,0.0,85.606206629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4641446123,0.0
