Time,ACEA,ACEB,ACEE,ACKAR,ACNAR,ACNBR,ACS,ACUPR,ACex,ACxt_b,ADHER,ADK,ATPAR,ATPM,ArcA,CO2ex,CO2xt_b,COZTXR,CYDA,CYOA,Cra,Crp,DCTAR,DCUAR,DCUBR,DCUC,DLD1R,DLD2,DcuR,DcuS,ENOR,ETHUPR,ETHex,ETHxt_b,FBAR,FBP,FDNG,FDOH,FORUPR,FORex,FORxt_b,FRDA,FUMAR,FUMBR,FUMCR,FadR,Fnr,GALER,GALKR,GALM1R,GALM2R,GALTR,GALUR,GAPAR,GLCPTS,GLCUP,GLCex,GLCxt_b,GLK,GLPA,GLPD,GLPK,GLTA,GLUPR,GLex,GLxt_b,GND,GPMAR,GPMBR,GPSAR,GalR,GalS,GlpR,Growth,ICDAR,IclR,LACDN,LACUP,LACYR,LACZ,LACex,LACxt_b,LCTSex,LCTSxt_b,Lacl,MAEB,MDHR,Mlc,NDH,NUOA,O2TXR,O2ex,O2xt_b,PCKA,PFKA,PFKB,PFLA,PFLC,PGIR,PGKR,PGL,PGMR,PIUP2R,PIex,PIxt_b,PNTA1,PNTA2,PPA,PPC,PPSA,PTAR,PYKA,PYKF,PYRUPR,PYRex,PYRxt_b,PdhR,RBSK,RIBUPR,RIBex,RIBxt_b,RPER,RPIAR,RPIBR,RbsR,RpiR,SDHA1,SDHA2,SFCA,SUCA,SUCCR,SUCCex,SUCCxt_b,SurplusF6P,SurplusFDP,SurplusPYR,TALAR,TALBR,TKTA1R,TKTA2R,TKTB1R,TKTB2R,TPIAR,ZWFR,aceA,aceB,aceEF,ackA,acnA,acnB,acs,adhE,adk,atpABCDEFGHI,crr,cydAB,cyoABCD,dctA,dcuA,dcuB,dcuC,dld,eno,fba,fbp,fdnGHI,fdolHG,focA,frdABCD,fumA,fumB,fumC,galE,galK,galM,galP,galT,galU,gapA,glk,glpABC,glpD,glpF,glpK,gltA,gnd,gpmA,gpmB,gpsA,icdA,lacY,lacZ,lpdA,maeB,mdh,ndh,nuoABEFGHIJKLMN,pckA,pfkA,pfkB,pflAB,pflCD,pgi,pgk,pgl,pgm,pitAB,pntAB,ppa,ppc,ppsA,pta,ptsGHI,pykA,pykF,rbsABCD,rbsK,rpe,rpiA,rpiB,sdhABCD,sfcA,sucAB,sucCD,talA,talB,tktA,tktB,tpiA,zwf,VGRO,biomass
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.003
1,0.0,0.0,7.7326145632,1.7951908446,-99996.8812214701,99999.0,0.0,-1.7951908446,1.7951908446,0.3,0.0,0.0,-43.6216684858,0.0,0,16.2099183285,0.0,-16.2099183285,0.0,30.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.052778659,0.0,0.0,0.0,6.7485966912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99997.9737215642,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.5741105657,10.5,0.0,-10.5,10.4,0.0,0.0,0.0,0.0,2.1187785299,0.0,0.0,0.0,8.2421769567,-99984.947221341,99999.0,0.0,1,1,1,1.0210281253,2.1187785299,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0262784358,0,0.0,28.9737215642,15.0,-15.0,9999.0,0.0,6.7485966912,0.0,0.0,0.0,2.0536174182,15.5741105657,8.2421769567,0.0,3.7165423762,-3.7165423762,9999.0,0.0,0.0,0.0,2.9099301572,0.0,1.7951908446,0.0,0.1221241579,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4.7664512417,-99995.524274285,99999.0,1,1,1.0262784358,1.0262784358,0.0,1.0262784358,1.0262784358,0.0,0.0,0,1,1,99999.0,-99996.4329893166,-99996.4329893166,-99996.8005594417,99999.0,99999.0,-6.7485966912,8.2421769567,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0210281253,0.003
2,0.0,0.0,0.0,-2.5,-99998.4438669439,99999.0,0.0,2.5,-2.5,0.3000546871,0.0,0.0,-14.4331254332,0.0,0,-0.9251559252,0.0004938049,0.9251559252,0.0,12.4678332179,0,0,0.0,0.0,0.0,0.0,-0.0948833448,0.0,0,0,18.8620928621,0.0,0.0,0.0,9.9889119889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,-99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,19.6365211365,0.0,10.5,-10.5,10.3996801371,10.5,0.0,0.0,0.0,0.5561330561,0.0,0.0,0.0,0.0,-99980.1379071379,99999.0,0.0,1,1,1,0.5197505198,0.5561330561,1,0.0948833448,0.0,0.0,0.0,0.0948833448,0.0,0.0,0.0,1,0.0,0.0,0,0.0,12.4678332179,6.2339166089,-6.2339166089,9998.999543053,0.0,9.9889119889,0.0,0.0,0.0,10.396049896,19.6365211365,0.0,0.0,1.8918918919,-1.8918918919,9998.9998867825,0.0,8.9137214137,0.0,1.4812889813,0.0,-2.5,17.1157311157,0.0,-15.5499538,15.5499538,0.0,0,0.0,0.0,0.0,0.0,-0.3707553707,0.3707553707,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,99998.9081774082,-99999.0,-99999.0,-99999.0,99998.9081774082,99998.7210672211,-9.9889119889,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5197505198,0.0030307877
3,0.0,0.0,23.6145477701,2.5,-99994.0855698643,99999.0,0.0,-2.5,2.5,0.2999783243,12.3325655393,0.0,-40.5375516123,0.0,0,36.3531970842,0.0004655459,-36.3531970842,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.4252220957,-12.3325655393,12.3325655393,0.0,7.1619702395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99995.1920620412,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.9660383047,10.5,0.0,-10.5,10.3993594133,0.0,0.0,0.0,0.0,4.9144301357,0.0,0.0,0.0,6.9634800087,-99984.5747779043,99999.0,0.0,1,1,1,1.0341048383,4.9144301357,1,0.0,0.0,0.0,0.0,0.0,2.8982e-06,0.0,0.0,1,0.0,3.8079379588,0,0.0,26.1920620412,15.0,-15.0,9998.9993526373,0.0,7.1619702395,0.0,0.0,0.0,3.3296990237,15.9660383047,6.9634800087,0.0,3.7641416113,-3.7641416113,9998.9998289944,0.0,0.0,0.0,2.947198789,0.0,2.5,0.0,0.4506298392,15.5904346231,-15.5904346231,0.0004749753,0,0.0,0.0,0.0,0.0,3.9046585545,3.0588214542,0.0,1,1,3.8079379588,3.8079379588,0.0,3.8079379588,3.8079379588,0.0,0.0,1,1,1,99999.0,-99996.8615318519,-99996.8615318519,-99997.2338095936,99999.0,99999.0,-7.1619702395,6.9634800087,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0341048383,0.0030465813
4,0.0,0.0,0.0,2.5,-99997.1921689851,99999.0,0.0,-2.5,2.5,0.3000556799,-8.1615146832,0.0,-43.9117293491,0.0,0,8.0595054096,0.001590394,-8.0595054096,0.0,30.0,0,0,0.0,0.0,0.0,0.0,-7.5558131547,0.0,0,0,13.9339687446,8.1615146832,-8.1615146832,0.0003815968,6.6591104242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99998.294693457,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.4692598317,10.4718358235,0.0281641765,-10.5,10.3990345201,0.0281641765,0.0,0.0,0.0,1.8078310149,0.0,0.0,0.0,8.4829984544,-99985.0660312554,99999.0,0.0,1,1,1,1.0303967027,1.8078310149,1,7.5558131547,0.0,0.0,0.0,7.5558131547,2.8982e-06,0.0,0.0,1,0.0,0.705306543,0,0.0,29.294693457,15.0,-15.0,9998.9988885041,0.0,6.6591104242,0.0,0.0,0.0,1.810922205,15.4692598317,8.4829984544,0.0,3.7506439979,-3.7506439979,9998.9997125236,0.0,0.0,0.0,2.9366306028,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.9203159883,3.5626824661,0.0,1,1,0.705306543,0.705306543,0.0,0.705306543,0.705306543,0.0,0.0,1,1,1,99999.0,-99996.3543705993,-99996.3543705993,-99996.7253134123,99999.0,99999.0,-6.6591104242,8.4829984544,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0303967027,0.0030782496
7,0.0,0.0,7.5558131547,2.5,-99997.1921689851,99999.0,0.0,-2.5,2.5,0.3002925824,-0.6057015284,0.0,-43.9117293491,0.0,0,15.6153185643,0.0028339071,-15.6153185643,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.9339687446,0.6057015284,-0.6057015284,8.79893e-05,6.6591104242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99998.294693457,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.4692598317,10.4718358235,0.0281641765,-10.5,10.3980395293,0.0281641765,0.0,0.0,0.0,1.8078310149,0.0,0.0,0.0,8.4829984544,-99985.0660312554,99999.0,0.0,1,1,1,1.0303967027,1.8078310149,1,0.0,0.0,0.0,0.0,0.0,0.0002391088,0.0,0.0,1,0.0,0.705306543,0,0.0,29.294693457,15.0,-15.0,9998.9974670887,0.0,6.6591104242,0.0,0.0,0.0,1.810922205,15.4692598317,8.4829984544,0.0,3.7506439979,-3.7506439979,9998.9993571087,0.0,0.0,0.0,2.9366306028,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.9203159883,3.5626824661,0.0,1,1,0.705306543,0.705306543,0.0,0.705306543,0.705306543,0.0,0.0,1,1,1,99999.0,-99996.3543705993,-99996.3543705993,-99996.7253134123,99999.0,99999.0,-6.6591104242,8.4829984544,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0303967027,0.0031748902
8,0.0,0.0,7.5558131547,2.5,-99997.1921689851,99999.0,0.0,-2.5,2.5,0.3003731913,-0.6057015284,0.0,-43.9117293491,0.0,0,15.6153185643,0.0033374007,-15.6153185643,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.9339687446,0.6057015284,-0.6057015284,6.84593e-05,6.6591104242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99998.294693457,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.4692598317,10.4718358235,0.0281641765,-10.5,10.3977009719,0.0281641765,0.0,0.0,0.0,1.8078310149,0.0,0.0,0.0,8.4829984544,-99985.0660312554,99999.0,0.0,1,1,1,1.0303967027,1.8078310149,1,0.0,0.0,0.0,0.0,0.0,0.0002391088,0.0,0.0,1,0.0,0.705306543,0,0.0,29.294693457,15.0,-15.0,9998.9969834352,0.0,6.6591104242,0.0,0.0,0.0,1.810922205,15.4692598317,8.4829984544,0.0,3.7506439979,-3.7506439979,9998.9992361745,0.0,0.0,0.0,2.9366306028,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.9203159883,3.5626824661,0.0,1,1,0.705306543,0.705306543,0.0,0.705306543,0.705306543,0.0,0.0,1,1,1,99999.0,-99996.3543705993,-99996.3543705993,-99996.7253134123,99999.0,99999.0,-6.6591104242,8.4829984544,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0303967027,0.0032077733
11,0.0,0.0,7.655917756,2.0986120859,-99997.015215248,99999.0,0.0,-2.0986120859,2.0986120859,0.3006200621,-0.261365895,0.0,-43.7495338547,0.0,0,15.9533816648,0.0048793868,-15.9533816648,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.0013079629,0.261365895,-0.261365895,8.6472e-06,6.7098816862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99998.1120759138,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.5287120676,10.5,0.0,-10.5,10.3966641148,0.0,0.0,0.0,0.0,1.984784752,0.0,0.0,0.0,8.3462998347,-99984.9986920371,99999.0,0.0,1,1,1,1.025103426,1.984784752,1,0.0,0.0,0.0,0.0,0.0,0.0002391088,0.0,0.0,1,0.0,0.8879240862,0,0.0,29.1120759138,15.0,-15.0,9998.9955022108,0.0,6.7098816862,0.0,0.0,0.0,1.9486794801,15.5287120676,8.3462998347,0.0,3.7313764706,-3.7313764706,9998.9988658048,0.0,0.0,0.0,2.9215447641,0.0,2.0986120859,0.0,0.0569604516,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.832959446,3.5133403888,0.0,1,1,0.8879240862,0.8879240862,0.0,0.8879240862,0.8879240862,0.0,0.0,1,1,1,99999.0,-99996.3990016603,-99996.3990016603,-99996.7680388937,99999.0,99999.0,-6.7098816862,8.3462998347,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.025103426,0.0033084802
235,0.0,0.0,7.7326145632,1.7951908446,-99996.8812214701,99999.0,0.0,-1.7951908446,1.7951908446,0.352620105,0.0,0.0,-43.6216684858,0.0,0,16.2099183285,0.4743200825,-16.2099183285,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.052778659,0.0,0.0,0.0,6.7485966912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99997.9737215642,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.5741105657,10.5,0.0,-10.5,10.0925775794,0.0,0.0,0.0,0.0,2.1187785299,0.0,0.0,0.0,8.2421769567,-99984.947221341,99999.0,0.0,1,1,1,1.0210281253,2.1187785299,1,0.0,0.0,0.0,0.0,0.0,0.0002391088,0.0,0.0,1,0.0,1.0262784358,0,0.0,28.9737215642,15.0,-15.0,9998.5610928745,0.0,6.7485966912,0.0,0.0,0.0,2.0536174182,15.5741105657,8.2421769567,0.0,3.7165423762,-3.7165423762,9998.8912319369,0.0,0.0,0.0,2.9099301572,0.0,1.7951908446,0.0,0.1221241579,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.7664512417,3.475725715,0.0,1,1,1.0262784358,1.0262784358,0.0,1.0262784358,1.0262784358,0.0,0.0,1,1,1,99999.0,-99996.4329893166,-99996.4329893166,-99996.8005594417,99999.0,99999.0,-6.7485966912,8.2421769567,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0210281253,0.0325778428
528,0.0,0.0,7.7326145632,1.7951908446,-99996.8812214701,99999.0,0.0,-1.7951908446,1.7951908446,1.4473309611,0.0,0.0,-43.6216684858,0.0,0,16.2099183285,10.3591586374,-16.2099183285,0.0,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14.052778659,0.0,0.0,0.0,6.7485966912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99997.9737215642,0.0,99999.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,15.5741105657,10.5,0.0,-10.5,3.6896577851,0.0,0.0,0.0,0.0,2.1187785299,0.0,0.0,0.0,8.2421769567,-99984.947221341,99999.0,0.0,1,1,1,1.0210281253,2.1187785299,1,0.0,0.0,0.0,0.0,0.0,0.0002391088,0.0,0.0,1,0.0,1.0262784358,0,0.0,28.9737215642,15.0,-15.0,9989.4140645969,0.0,6.7485966912,0.0,0.0,0.0,2.0536174182,15.5741105657,8.2421769567,0.0,3.7165423762,-3.7165423762,9996.6248776189,0.0,0.0,0.0,2.9099301572,0.0,1.7951908446,0.0,0.1221241579,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.7664512417,3.475725715,0.0,1,1,1.0262784358,1.0262784358,0.0,1.0262784358,1.0262784358,0.0,0.0,1,1,1,99999.0,-99996.4329893166,-99996.4329893166,-99996.8005594417,99999.0,99999.0,-6.7485966912,8.2421769567,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0210281253,0.6488778126
